Timeline,filters,Count
"2017-03-13 17:00",Others,0
"2017-03-13 18:00",CMSProd,"5,447"
"2017-03-13 18:00",CMSPool,"5,210"
"2017-03-13 18:00",PhEDEx,528
"2017-03-13 18:00",LCGAdmin,318
"2017-03-13 18:00",LIGO,4
"2017-03-13 18:00",Others,0
"2017-03-13 19:00",CMSProd,"5,320"
"2017-03-13 19:00",CMSPool,"6,346"
"2017-03-13 19:00",PhEDEx,401
"2017-03-13 19:00",LCGAdmin,333
"2017-03-13 19:00",LIGO,12
"2017-03-13 19:00",Others,0
"2017-03-13 20:00",CMSProd,"6,950"
"2017-03-13 20:00",CMSPool,"5,989"
"2017-03-13 20:00",PhEDEx,484
"2017-03-13 20:00",LCGAdmin,317
"2017-03-13 20:00",LIGO,0
"2017-03-13 20:00",Others,0
"2017-03-13 21:00",CMSProd,"13,177"
"2017-03-13 21:00",CMSPool,"6,126"
"2017-03-13 21:00",PhEDEx,398
"2017-03-13 21:00",LCGAdmin,313
"2017-03-13 21:00",LIGO,8
"2017-03-13 21:00",Others,0
"2017-03-13 22:00",CMSProd,"8,020"
"2017-03-13 22:00",CMSPool,"4,737"
"2017-03-13 22:00",PhEDEx,432
"2017-03-13 22:00",LCGAdmin,310
"2017-03-13 22:00",LIGO,8
"2017-03-13 22:00",Others,0
"2017-03-13 23:00",CMSProd,"4,776"
"2017-03-13 23:00",CMSPool,"3,194"
"2017-03-13 23:00",PhEDEx,"1,244"
"2017-03-13 23:00",LCGAdmin,302
